Rk,G,Date,Opp,W/L,PTS,Opp.1,PTS.1,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
9,9,2022-11-05,NYK,W,133,118,47,88,.534,27,51,.529,12,12,1.000,8,34,30,5,2,13,17,46,90,.511,11,27,.407,15,16,.938,12,44,22,6,4,14,14
10,10,2022-11-07,MEM,W,109,106,38,82,.463,12,37,.324,21,28,.750,7,45,26,5,6,15,19,41,91,.451,15,44,.341,9,14,.643,8,45,27,4,4,11,23
11,11,2022-11-09,DET,W,128,112,47,88,.534,18,46,.391,16,21,.762,8,43,31,5,4,13,25,37,89,.416,7,33,.212,31,40,.775,15,48,15,7,3,10,19
12,12,2022-11-11,DEN,W,131,112,50,90,.556,16,37,.432,15,20,.750,10,46,30,3,5,7,19,42,92,.457,12,29,.414,16,20,.800,11,38,26,3,1,6,16
13,13,2022-11-12,DET,W,117,108,39,91,.429,18,48,.375,21,24,.875,9,42,27,6,4,7,17,37,89,.416,16,38,.421,18,21,.857,11,50,23,4,3,14,23
14,14,2022-11-14,OKC,W,126,122,46,96,.479,10,37,.270,24,29,.828,10,46,25,15,7,14,20,47,98,.480,11,30,.367,17,21,.810,10,51,21,4,6,20,21
15,15,2022-11-16,ATL,W,126,101,48,88,.545,21,46,.457,9,10,.900,6,49,29,4,8,15,20,42,101,.416,7,32,.219,10,13,.769,14,45,21,5,5,9,11
16,16,2022-11-18,NOP,W,117,109,41,85,.482,20,46,.435,15,17,.882,11,46,28,6,3,17,13,43,87,.494,13,35,.371,10,13,.769,7,37,24,13,3,13,18
17,17,2022-11-21,CHI,L,107,121,38,87,.437,19,50,.380,12,17,.706,5,38,28,3,4,15,18,46,89,.517,14,29,.483,15,20,.750,8,51,26,10,1,15,19
18,18,2022-11-23,DAL,W,125,112,45,84,.536,17,34,.500,18,21,.857,6,38,29,4,4,12,22,44,82,.537,11,31,.355,13,21,.619,5,35,20,4,3,14,23
19,19,2022-11-25,SAC,W,122,104,41,83,.494,16,37,.432,24,27,.889,4,38,27,9,6,10,24,36,87,.414,9,36,.250,23,26,.885,11,45,20,3,4,18,22
20,20,2022-11-27,WAS,W,130,121,44,80,.550,16,34,.471,26,26,1.000,10,38,25,2,5,14,23,44,82,.537,7,28,.250,26,33,.788,6,29,23,8,1,4,21
21,21,2022-11-28,CHO,W,140,105,55,93,.591,24,52,.462,6,7,.857,9,39,40,10,5,16,18,42,86,.488,11,29,.379,10,15,.667,13,37,28,7,2,20,14
22,22,2022-11-30,MIA,W,134,121,46,83,.554,22,45,.489,20,23,.870,11,41,32,7,0,18,18,47,90,.522,18,40,.450,9,9,1.000,9,32,25,8,3,15,21
23,23,2022-12-02,MIA,L,116,120,40,87,.460,15,45,.333,21,28,.750,7,48,26,6,2,20,18,48,101,.475,11,35,.314,13,18,.722,12,50,19,11,3,17,24
