     ,Date                ,Start (ET) ,Visitor/Neutral        ,PTS ,Home/Neutral           ,PTS.1 ,Unnamed: 6 ,Unnamed: 7 ,Attend. ,LOG    ,Arena                      ,Notes
  61 ,"Wed, Oct 27, 2021" ,10:00p     ,Sacramento Kings       ,110 ,Phoenix Suns           ,  107 ,Box Score  ,           ,14678.0 ,2:09   ,Phoenix Suns Arena         ,
  62 ,"Wed, Oct 27, 2021" ,10:00p     ,Memphis Grizzlies      , 96 ,Portland Trail Blazers ,  116 ,Box Score  ,           ,16241.0 ,2:19   ,Moda Center                ,
  63 ,"Wed, Oct 27, 2021" ,10:30p     ,Cleveland Cavaliers    , 92 ,Los Angeles Clippers   ,   79 ,Box Score  ,           ,13276.0 ,2:05   ,Crypto.com Arena           ,
  64 ,"Thu, Oct 28, 2021" ,7:00p      ,Atlanta Hawks          ,111 ,Washington Wizards     ,  122 ,Box Score  ,           ,13653.0 ,2:16   ,Capital One Arena          ,
  65 ,"Thu, Oct 28, 2021" ,7:00p      ,Detroit Pistons        ,102 ,Philadelphia 76ers     ,  110 ,Box Score  ,           ,20017.0 ,2:22   ,Wells Fargo Center         ,
  66 ,"Thu, Oct 28, 2021" ,8:00p      ,Utah Jazz              ,122 ,Houston Rockets        ,   91 ,Box Score  ,           ,15858.0 ,2:14   ,Toyota Center              ,
  67 ,"Thu, Oct 28, 2021" ,8:00p      ,New York Knicks        ,104 ,Chicago Bulls          ,  103 ,Box Score  ,           ,20972.0 ,2:20   ,United Center              ,
  68 ,"Thu, Oct 28, 2021" ,8:30p      ,San Antonio Spurs      , 99 ,Dallas Mavericks       ,  104 ,Box Score  ,           ,19228.0 ,2:07   ,American Airlines Center   ,
  69 ,"Thu, Oct 28, 2021" ,10:00p     ,Memphis Grizzlies      ,104 ,Golden State Warriors  ,  101 ,Box Score  ,OT         ,18064.0 ,2:23   ,Chase Center               ,
  70 ,"Fri, Oct 29, 2021" ,7:00p      ,Orlando Magic          ,109 ,Toronto Raptors        ,  110 ,Box Score  ,           ,19800.0 ,2:16   ,Scotiabank Arena           ,
  71 ,"Fri, Oct 29, 2021" ,7:30p      ,Charlotte Hornets      , 99 ,Miami Heat             ,  114 ,Box Score  ,           ,19600.0 ,2:18   ,FTX Arena                  ,
  72 ,"Fri, Oct 29, 2021" ,7:30p      ,Indiana Pacers         , 98 ,Brooklyn Nets          ,  105 ,Box Score  ,           ,16139.0 ,2:25   ,Barclays Center            ,
  73 ,"Fri, Oct 29, 2021" ,8:00p      ,Sacramento Kings       ,113 ,New Orleans Pelicans   ,  109 ,Box Score  ,           ,17507.0 ,2:16   ,Smoothie King Center       ,
  74 ,"Fri, Oct 29, 2021" ,10:00p     ,Dallas Mavericks       , 75 ,Denver Nuggets         ,  106 ,Box Score  ,           ,18315.0 ,2:17   ,Ball Arena                 ,
  75 ,"Fri, Oct 29, 2021" ,10:00p     ,Los Angeles Clippers   , 92 ,Portland Trail Blazers ,  111 ,Box Score  ,           ,16510.0 ,2:07   ,Moda Center                ,
  76 ,"Fri, Oct 29, 2021" ,10:30p     ,Cleveland Cavaliers    ,101 ,Los Angeles Lakers     ,  113 ,Box Score  ,           ,18997.0 ,2:09   ,Crypto.com Arena           ,
  77 ,"Sat, Oct 30, 2021" ,5:00p      ,Boston Celtics         ,112 ,Washington Wizards     ,  115 ,Box Score  ,2OT        ,15813.0 ,2:58   ,Capital One Arena          ,
  78 ,"Sat, Oct 30, 2021" ,7:00p      ,Orlando Magic          ,103 ,Detroit Pistons        ,  110 ,Box Score  ,           ,11423.0 ,2:12   ,Little Caesars Arena       ,
  79 ,"Sat, Oct 30, 2021" ,7:00p      ,New York Knicks        ,123 ,New Orleans Pelicans   ,  117 ,Box Score  ,           ,16508.0 ,2:16   ,Smoothie King Center       ,
  80 ,"Sat, Oct 30, 2021" ,7:30p      ,Toronto Raptors        , 97 ,Indiana Pacers         ,   94 ,Box Score  ,           ,10578.0 ,2:07   ,Gainbridge Fieldhouse      ,
  81 ,"Sat, Oct 30, 2021" ,7:30p      ,Atlanta Hawks          , 94 ,Philadelphia 76ers     ,  122 ,Box Score  ,           ,20031.0 ,2:10   ,Wells Fargo Center         ,
  82 ,"Sat, Oct 30, 2021" ,8:00p      ,Utah Jazz              , 99 ,Chicago Bulls          ,  107 ,Box Score  ,           ,20668.0 ,2:17   ,United Center              ,
  83 ,"Sat, Oct 30, 2021" ,8:00p      ,Miami Heat             ,129 ,Memphis Grizzlies      ,  103 ,Box Score  ,           ,15989.0 ,2:10   ,FedEx Forum                ,
  84 ,"Sat, Oct 30, 2021" ,8:00p      ,San Antonio Spurs      ,102 ,Milwaukee Bucks        ,   93 ,Box Score  ,           ,17341.0 ,2:11   ,Fiserv Forum               ,
  85 ,"Sat, Oct 30, 2021" ,8:30p      ,Oklahoma City Thunder  , 82 ,Golden State Warriors  ,  103 ,Box Score  ,           ,18064.0 ,2:02   ,Chase Center               ,
  86 ,"Sat, Oct 30, 2021" ,9:00p      ,Denver Nuggets         , 93 ,Minnesota Timberwolves ,   91 ,Box Score  ,           ,17136.0 ,2:02   ,Target Center              ,
  87 ,"Sat, Oct 30, 2021" ,10:00p     ,Cleveland Cavaliers    , 92 ,Phoenix Suns           ,  101 ,Box Score  ,           ,14516.0 ,2:06   ,Phoenix Suns Arena         ,
  88 ,"Sun, Oct 31, 2021" ,3:30p      ,Sacramento Kings       , 99 ,Dallas Mavericks       ,  105 ,Box Score  ,           ,19231.0 ,2:07   ,American Airlines Center   ,
  89 ,"Sun, Oct 31, 2021" ,7:00p      ,Portland Trail Blazers ,113 ,Charlotte Hornets      ,  125 ,Box Score  ,           ,14960.0 ,2:03   ,Spectrum Center            ,
  90 ,"Sun, Oct 31, 2021" ,7:00p      ,Utah Jazz              ,107 ,Milwaukee Bucks        ,   95 ,Box Score  ,           ,17341.0 ,2:10   ,Fiserv Forum               ,
  91 ,"Sun, Oct 31, 2021" ,7:30p      ,Detroit Pistons        , 91 ,Brooklyn Nets          ,  117 ,Box Score  ,           ,13507.0 ,2:05   ,Barclays Center            ,
  92 ,"Sun, Oct 31, 2021" ,10:30p     ,Houston Rockets        , 85 ,Los Angeles Lakers     ,   95 ,Box Score  ,           ,16448.0 ,2:13   ,Crypto.com Arena           ,
  93 ,"Mon, Nov 1, 2021"  ,7:00p      ,Cleveland Cavaliers    ,113 ,Charlotte Hornets      ,  110 ,Box Score  ,           ,13889.0 ,2:15   ,Spectrum Center            ,
  94 ,"Mon, Nov 1, 2021"  ,7:00p      ,San Antonio Spurs      ,118 ,Indiana Pacers         ,  131 ,Box Score  ,           ,10227.0 ,2:02   ,Gainbridge Fieldhouse      ,
  95 ,"Mon, Nov 1, 2021"  ,7:00p      ,Portland Trail Blazers ,103 ,Philadelphia 76ers     ,  113 ,Box Score  ,           ,20115.0 ,2:04   ,Wells Fargo Center         ,
  96 ,"Mon, Nov 1, 2021"  ,7:30p      ,Washington Wizards     ,111 ,Atlanta Hawks          ,  118 ,Box Score  ,           ,14632.0 ,2:12   ,State Farm Arena           ,
